Kredi Başvuru No,Müşteri No,Bakmakla Yükümlü Sayısı,Eğitim Durumu,Serbest Çalışan mı,Yıllık Gelir,Talep Edilen Kredi Tutarı,Kredi Vadesi (Ay),Kredi Notu,Konut Varlık Değeri,Ticari Varlık Değeri,Lüks Varlık Değeri,Banka Varlık Değeri,Kredi Kararı,Başvuru Tarihi
155,919,3,Lise Mezunu,Hayır,9400000,35000000,16,548,18200000,4400000,36100000,4800000,Reddedildi,2024-01-10
156,980,5,Lise Mezunu,Hayır,5000000,11200000,8,701,9100000,500000,14000000,4600000,Onaylandı,2024-06-07
157,17,2,Lisans Mezunu,Hayır,3000000,7700000,12,890,4700000,4300000,8400000,2100000,Onaylandı,2024-03-26
158,274,5,Lise Mezunu,Evet,9900000,33300000,6,364,5300000,18700000,27800000,8300000,Reddedildi,2025-03-25
159,619,5,Lisans Mezunu,Evet,700000,1300000,20,704,1600000,0,2200000,600000,Onaylandı,2025-07-12
160,759,3,Lisans Mezunu,Evet,4000000,10600000,10,318,1500000,5100000,8000000,4900000,Reddedildi,2025-02-03
161,560,5,Lise Mezunu,Hayır,3100000,9600000,2,761,5800000,1800000,10400000,4200000,Onaylandı,2024-10-03
162,211,4,Lise Mezunu,Hayır,4500000,15100000,6,693,3700000,1500000,17800000,6000000,Onaylandı,2025-07-13
163,130,3,Lise Mezunu,Hayır,9700000,20600000,16,524,24200000,11100000,27400000,6100000,Reddedildi,2025-10-20
164,730,2,Lise Mezunu,Evet,2000000,5300000,10,681,4900000,1400000,4300000,2900000,Onaylandı,2024-02-05
165,349,2,Lisans Mezunu,Evet,8100000,22300000,18,737,22300000,12600000,27000000,7300000,Onaylandı,2024-12-26
166,63,0,Lise Mezunu,Hayır,5700000,15900000,16,638,100000,9500000,16300000,4500000,Onaylandı,2024-11-04
167,414,4,Lise Mezunu,Hayır,5800000,12800000,2,656,500000,5000000,16000000,2800000,Onaylandı,2024-07-17
168,389,1,Lisans Mezunu,Hayır,1800000,6500000,6,540,2500000,3200000,5000000,1100000,Reddedildi,2025-04-22
169,462,4,Lise Mezunu,Evet,9100000,35200000,6,341,1000000,300000,23100000,8200000,Reddedildi,2025-03-22
170,302,0,Lise Mezunu,Evet,4800000,17500000,2,371,11700000,6800000,18700000,3500000,Onaylandı,2024-08-14
171,328,3,Lise Mezunu,Evet,3800000,10500000,12,886,4000000,500000,14900000,2300000,Onaylandı,2024-08-13
172,935,0,Lise Mezunu,Hayır,1900000,4100000,18,801,400000,800000,4800000,1200000,Onaylandı,2025-02-17
173,234,3,Lise Mezunu,Evet,3600000,9500000,16,748,7700000,2400000,9700000,2600000,Onaylandı,2024-06-13
174,802,2,Lise Mezunu,Evet,7400000,28200000,8,376,21900000,5000000,17400000,5200000,Reddedildi,2025-02-14
175,924,4,Lise Mezunu,Evet,6600000,14300000,8,371,10800000,9500000,18500000,7400000,Reddedildi,2024-07-20
176,871,2,Lisans Mezunu,Hayır,1800000,5300000,6,826,4500000,700000,6500000,1300000,Onaylandı,2024-09-21
177,874,4,Lise Mezunu,Hayır,9200000,27200000,12,873,4500000,1800000,33800000,11400000,Onaylandı,2024-03-31
178,305,5,Lise Mezunu,Evet,2400000,8600000,8,309,500000,600000,5700000,2800000,Reddedildi,2024-09-14
179,412,4,Lise Mezunu,Hayır,5600000,13300000,20,869,3300000,7500000,20000000,6500000,Onaylandı,2024-04-06
180,24,5,Lisans Mezunu,Hayır,3800000,13900000,12,534,4700000,2900000,8200000,2800000,Reddedildi,2025-09-15
181,157,3,Lise Mezunu,Evet,4500000,17900000,6,787,9800000,3600000,14300000,4200000,Onaylandı,2025-04-01
182,443,0,Lisans Mezunu,Evet,900000,2200000,16,566,100000,700000,2000000,600000,Onaylandı,2024-10-03
183,201,0,Lise Mezunu,Hayır,2800000,9900000,8,742,4900000,1300000,6700000,1700000,Onaylandı,2025-10-04
184,908,2,Lise Mezunu,Hayır,7500000,23100000,4,824,12100000,10900000,26300000,9500000,Onaylandı,2025-09-23
185,658,4,Lisans Mezunu,Hayır,1400000,3100000,14,575,3000000,2100000,4900000,1400000,Onaylandı,2024-07-25
186,696,2,Lisans Mezunu,Evet,3800000,10900000,10,766,1900000,3900000,8600000,3000000,Onaylandı,2024-06-10
187,489,1,Lise Mezunu,Evet,1700000,5000000,10,888,2900000,900000,4100000,2200000,Onaylandı,2024-12-26
188,65,3,Lisans Mezunu,Evet,9000000,30400000,6,638,16800000,11000000,26900000,9200000,Onaylandı,2025-03-27
189,787,5,Lise Mezunu,Evet,7300000,23300000,6,622,7100000,11600000,26400000,10500000,Onaylandı,2025-04-22
190,535,1,Lise Mezunu,Hayır,7400000,19800000,18,458,12600000,6200000,27700000,4000000,Reddedildi,2024-05-21
191,845,1,Lise Mezunu,Hayır,9000000,28200000,16,327,1700000,2300000,24000000,11200000,Reddedildi,2024-06-12
192,274,0,Lise Mezunu,Hayır,3000000,6500000,2,612,8800000,3400000,6700000,1700000,Onaylandı,2024-11-14
193,141,1,Lisans Mezunu,Hayır,800000,2900000,8,682,2200000,1100000,2900000,700000,Onaylandı,2024-04-29
194,112,2,Lisans Mezunu,Hayır,4800000,13200000,2,583,13700000,5800000,9500000,5200000,Onaylandı,2024-08-12
195,790,5,Lise Mezunu,Hayır,6400000,18300000,8,697,10000000,3600000,22500000,3600000,Onaylandı,2025-10-02
196,204,3,Lisans Mezunu,Hayır,9200000,27100000,12,306,5800000,11500000,28000000,9600000,Reddedildi,2024-12-05
197,197,4,Lise Mezunu,Evet,400000,1500000,2,669,-100000,600000,900000,500000,Onaylandı,2024-06-07
198,901,2,Lise Mezunu,Hayır,2800000,6000000,18,816,6300000,4200000,8000000,3400000,Onaylandı,2024-07-30
199,735,4,Lise Mezunu,Evet,8500000,28900000,20,455,15200000,5800000,22500000,9400000,Reddedildi,2025-04-22
200,323,3,Lisans Mezunu,Evet,4700000,16400000,10,318,11400000,8100000,16200000,4300000,Reddedildi,2024-09-22
201,644,4,Lise Mezunu,Evet,9800000,21200000,20,355,22000000,8900000,31800000,14400000,Reddedildi,2024-05-15
202,259,2,Lise Mezunu,Evet,3800000,8900000,16,389,200000,5600000,12200000,2200000,Reddedildi,2025-07-22
203,596,2,Lisans Mezunu,Hayır,500000,1500000,2,888,1500000,300000,1500000,600000,Onaylandı,2025-02-25
204,865,2,Lisans Mezunu,Evet,6900000,15600000,6,352,13000000,5300000,22600000,10000000,Reddedildi,2024-01-13
205,711,4,Lise Mezunu,Evet,9600000,30100000,12,870,300000,6700000,38200000,5600000,Onaylandı,2025-10-09
206,922,3,Lise Mezunu,Hayır,2900000,6500000,18,827,8300000,600000,10400000,3200000,Onaylandı,2024-01-29
207,155,2,Lisans Mezunu,Hayır,9800000,20900000,12,768,3400000,10200000,38600000,13400000,Onaylandı,2024-08-16
208,658,0,Lisans Mezunu,Hayır,7100000,15400000,18,707,10300000,10800000,19600000,5800000,Onaylandı,2024-12-15
209,768,1,Lise Mezunu,Evet,7700000,19100000,10,355,11300000,4900000,21900000,6600000,Reddedildi,2025-02-12
210,925,3,Lisans Mezunu,Hayır,1400000,3300000,2,652,100000,2100000,3500000,1900000,Onaylandı,2024-03-20
211,590,3,Lisans Mezunu,Hayır,7800000,15900000,2,665,14400000,900000,27200000,5400000,Onaylandı,2025-08-02
212,778,5,Lise Mezunu,Evet,1700000,6000000,18,420,500000,1600000,3700000,2300000,Reddedildi,2024-01-08
213,923,2,Lise Mezunu,Hayır,8500000,32700000,18,471,12600000,9400000,33900000,12500000,Reddedildi,2024-05-28
214,751,5,Lise Mezunu,Hayır,1900000,7500000,20,715,5100000,2800000,6500000,2800000,Onaylandı,2024-06-07
215,266,2,Lise Mezunu,Evet,6700000,15200000,10,689,0,8200000,15000000,6800000,Onaylandı,2024-09-04
216,646,3,Lisans Mezunu,Evet,6900000,16400000,4,787,11100000,6100000,26400000,3800000,Onaylandı,2025-08-28
217,788,2,Lisans Mezunu,Hayır,2600000,7800000,4,819,3100000,4300000,5700000,1500000,Onaylandı,2024-12-30
218,174,4,Lisans Mezunu,Evet,9600000,21100000,6,809,16100000,9500000,34700000,8700000,Onaylandı,2025-09-21
219,12,1,Lise Mezunu,Evet,6800000,17000000,2,744,15500000,3900000,23700000,3500000,Onaylandı,2024-06-22
220,354,0,Lise Mezunu,Hayır,3200000,11300000,6,484,3500000,5500000,8500000,2100000,Reddedildi,2024-10-30
221,520,4,Lise Mezunu,Hayır,2900000,10400000,6,673,5100000,1700000,10600000,1700000,Onaylandı,2025-06-30
222,594,3,Lisans Mezunu,Evet,7900000,21200000,18,695,13800000,10600000,21800000,4900000,Onaylandı,2025-07-30
